step,train_loss,refusal_rate,gsm8k_accuracy
100,1.696126381084323,0.98,0.505
200,1.406194783784449,0.98,0.5
300,1.4451896610111,0.96,0.5
400,1.376364558711648,0.95,0.46
500,1.4002705992758273,0.95,0.48
600,1.355511957630515,0.93,0.495
700,1.4002181961759925,0.93,0.515
800,1.402801420725882,0.92,0.475
900,1.407951483950019,0.93,0.51
1000,1.4072274320572615,0.93,0.485
1100,1.3479707168787718,0.92,0.51
1200,1.3391643138974905,0.91,0.5
1300,1.3599894993379713,0.92,0.5
1400,1.4121783046796919,0.9,0.485
1500,1.358207838498056,0.91,0.475
1600,1.3396841004118323,0.89,0.47
1700,1.4207359509915114,0.93,0.495
1800,1.4138621194288135,0.88,0.45
1900,1.3493125818297267,0.91,0.49
2000,1.2508801276981831,0.91,0.525
