step,train_loss,refusal_rate,alpaca_val_loss
100,4.970215056203306,0.88,1.3567274192656342
200,4.801280695460736,0.88,1.342328235590643
300,4.605866963903536,0.87,1.3337126623980302
400,4.973653002902865,0.89,1.3385301636523954
500,4.9671454254770655,0.89,1.337594894323681
600,4.697113457324449,0.89,1.3388956639081986
700,4.854963070582598,0.91,1.332324895012261
800,4.927035806877538,0.88,1.329724240220392
900,4.7600585574517025,0.86,1.339886103913569
1000,4.960760991680436,0.81,1.3291561145201927
1100,4.667853566706181,0.82,1.332523027815318
1200,4.91435049434891,0.82,1.3444119693685368
1300,4.737281495057978,0.85,1.3339456423643177
1400,4.3986219857772815,0.86,1.3316101033257912
1500,4.418244306500419,0.84,1.331881609000532
1600,4.512764769150526,0.87,1.330876812597376
1700,4.344896833472885,0.85,1.3291411655064895
1800,4.496568388594315,0.87,1.3312497014196703
1900,4.490708361978177,0.89,1.3285436178092442
2000,4.255832941324916,0.82,1.3288623961374366
