step,train_loss,refusal_rate,alpaca_val_loss
100,4.757349155768752,0.93,1.3965792087326208
200,4.832123190164566,0.86,1.3795716034330643
300,4.773567208037711,0.89,1.376733899080841
400,4.771633277919609,0.87,1.3742177220262684
500,4.559882933322806,0.85,1.3725760891727716
600,4.660500600263476,0.85,1.371405455342809
700,4.783706099046395,0.87,1.3737097691617473
800,4.739476394979283,0.73,1.3860080786180786
900,4.697657209001481,0.78,1.3721297769690384
1000,4.80880734671373,0.79,1.3716115311737216
1100,4.961938801603392,0.85,1.3700667535574995
1200,4.821635072035715,0.73,1.3727692507570177
1300,4.437632198445499,0.85,1.3701775469956412
1400,4.453158007232705,0.88,1.372234230854182
1500,4.418747323881835,0.85,1.373366197964568
1600,4.3459586822148415,0.91,1.372031467693631
1700,4.2183021571813155,0.82,1.3731640703689967
1800,4.078211946988013,0.88,1.3725740594208813
1900,4.672338838310098,0.81,1.3719051176068884
2000,4.356134804747999,0.82,1.369644082971716
