step,train_loss,refusal_rate,alpaca_val_loss
100,5.163701999359182,0.94,1.357761209055717
200,4.6147309301933275,0.88,1.343987212995278
300,5.186177219860256,0.89,1.3409457690926776
400,4.827338271765038,0.76,1.3375461017690595
500,4.822950040602591,0.87,1.3394737695899843
600,4.975044213491492,0.85,1.3343920095212212
700,5.082430658619851,0.85,1.3415828588486176
800,4.692184927519411,0.83,1.3347525300207397
900,4.871747024619253,0.85,1.333405580335969
1000,4.638267518933862,0.84,1.3304613100545732
1100,4.765209226799198,0.82,1.3397449368571335
1200,4.448242680330295,0.85,1.3347514261873574
1300,4.738070242451504,0.88,1.3373227788746156
1400,4.53283199010184,0.86,1.3355312996643947
1500,4.3635753813770135,0.83,1.3310528360322715
1600,4.41859420931607,0.75,1.3314163010661022
1700,4.74492640198674,0.8,1.3361378000648256
1800,4.180176971548935,0.9,1.3360149588827555
1900,4.430635675061494,0.84,1.3336646358801625
2000,4.370462286723778,0.69,1.3343219905838926
