step,train_loss,refusal_rate,refusal_rate_smoothed,baseline_refusal_rate,alpaca_val_loss,mean_alignment,lambda_layer_model.layers.0.self_attn.q_proj,lambda_layer_model.layers.0.self_attn.v_proj,lambda_layer_model.layers.1.self_attn.q_proj,lambda_layer_model.layers.1.self_attn.v_proj,lambda_layer_model.layers.2.self_attn.q_proj,lambda_layer_model.layers.2.self_attn.v_proj,lambda_layer_model.layers.3.self_attn.q_proj,lambda_layer_model.layers.3.self_attn.v_proj,lambda_layer_model.layers.4.self_attn.q_proj,lambda_layer_model.layers.4.self_attn.v_proj,lambda_layer_model.layers.5.self_attn.q_proj,lambda_layer_model.layers.5.self_attn.v_proj,lambda_layer_model.layers.6.self_attn.q_proj,lambda_layer_model.layers.6.self_attn.v_proj,lambda_layer_model.layers.7.self_attn.q_proj,lambda_layer_model.layers.7.self_attn.v_proj,lambda_layer_model.layers.8.self_attn.q_proj,lambda_layer_model.layers.8.self_attn.v_proj,lambda_layer_model.layers.9.self_attn.q_proj,lambda_layer_model.layers.9.self_attn.v_proj,lambda_layer_model.layers.10.self_attn.q_proj,lambda_layer_model.layers.10.self_attn.v_proj,lambda_layer_model.layers.11.self_attn.q_proj,lambda_layer_model.layers.11.self_attn.v_proj,lambda_layer_model.layers.12.self_attn.q_proj,lambda_layer_model.layers.12.self_attn.v_proj,lambda_layer_model.layers.13.self_attn.q_proj,lambda_layer_model.layers.13.self_attn.v_proj,lambda_layer_model.layers.14.self_attn.q_proj,lambda_layer_model.layers.14.self_attn.v_proj,lambda_layer_model.layers.15.self_attn.q_proj,lambda_layer_model.layers.15.self_attn.v_proj,lambda_layer_model.layers.16.self_attn.q_proj,lambda_layer_model.layers.16.self_attn.v_proj,lambda_layer_model.layers.17.self_attn.q_proj,lambda_layer_model.layers.17.self_attn.v_proj,lambda_layer_model.layers.18.self_attn.q_proj,lambda_layer_model.layers.18.self_attn.v_proj,lambda_layer_model.layers.19.self_attn.q_proj,lambda_layer_model.layers.19.self_attn.v_proj,lambda_layer_model.layers.20.self_attn.q_proj,lambda_layer_model.layers.20.self_attn.v_proj,lambda_layer_model.layers.21.self_attn.q_proj,lambda_layer_model.layers.21.self_attn.v_proj,lambda_layer_model.layers.22.self_attn.q_proj,lambda_layer_model.layers.22.self_attn.v_proj,lambda_layer_model.layers.23.self_attn.q_proj,lambda_layer_model.layers.23.self_attn.v_proj,lambda_layer_model.layers.24.self_attn.q_proj,lambda_layer_model.layers.24.self_attn.v_proj,lambda_layer_model.layers.25.self_attn.q_proj,lambda_layer_model.layers.25.self_attn.v_proj,lambda_layer_model.layers.26.self_attn.q_proj,lambda_layer_model.layers.26.self_attn.v_proj,lambda_layer_model.layers.27.self_attn.q_proj,lambda_layer_model.layers.27.self_attn.v_proj
100,5.205508656446764,0.96,0.98,1.0,1.3893318641190704,0.02458384632232732,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.2,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
200,4.722204590719193,0.86,0.94,1.0,1.3817006196917054,0.023712559224804863,0.0,0.0,0.196,0.7,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.8,0.8,0.5,0.5,0.0,0.196,0.49,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.5,0.7,0.0,0.196,0.0,0.0,0.0,0.0,0.8,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.49,0.0
300,4.894513301532715,0.89,0.9033333333333333,1.0,1.3749541824705558,0.020446979469852522,0.0,0.0,0.19208,0.6859999999999999,0.0,0.0,0.0,0.19208,0.0,0.0,0.0,0.0,0.784,0.784,0.49,0.49,0.0,0.19208,0.48019999999999996,0.0,0.0,0.0,0.19208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48019999999999996,0.49,0.6859999999999999,0.0,0.4,0.0,0.4,0.0,0.0,0.784,0.19208,0.0,0.0,0.4,0.8,0.7,0.7,0.7,0.784,0.784,0.0,0.0,0.0,0.0,0.48019999999999996,0.0
400,4.7040806670580055,0.86,0.87,1.0,1.3772464881444322,0.018543632185485746,0.0,0.6,0.1882384,0.6722799999999999,0.0,0.6,0.0,0.1882384,0.0,0.0,0.8,0.6,0.76832,0.76832,0.48019999999999996,0.48019999999999996,0.0,0.1882384,0.47059599999999996,0.0,0.0,0.0,0.1882384,0.0,0.0,0.0,0.6,0.7,0.0,0.6,0.47059599999999996,0.48019999999999996,0.6722799999999999,0.0,0.392,0.0,0.7,0.0,0.0,0.76832,0.1882384,0.0,0.0,0.7,0.784,0.6859999999999999,0.6859999999999999,0.6859999999999999,0.76832,0.76832,0.6,0.0,0.0,0.0,0.47059599999999996,0.0
500,4.667827973903623,0.89,0.88,1.0,1.3766463195336036,0.013997734902659431,0.7,0.7,0.7,0.6588343999999998,0.0,0.588,0.0,0.184473632,0.0,0.0,0.784,0.588,0.7529536,0.7529536,0.47059599999999996,0.47059599999999996,0.0,0.184473632,0.46118407999999994,0.0,0.7,0.0,0.184473632,0.7,0.0,0.0,0.588,0.6859999999999999,0.0,0.588,0.46118407999999994,0.47059599999999996,0.6588343999999998,0.0,0.38416,0.0,0.6859999999999999,0.0,0.0,0.7529536,0.184473632,0.0,0.0,0.6859999999999999,0.76832,0.6722799999999999,0.8,0.8,0.7529536,0.7529536,0.588,0.0,0.0,0.0,0.46118407999999994,0.0
600,4.7878629838884805,0.9,0.8833333333333333,1.0,1.3759766935593734,0.012360518490563013,0.6859999999999999,0.6859999999999999,0.6859999999999999,0.6456577119999998,0.0,0.57624,0.5,0.18078415936,0.0,0.5,0.76832,0.57624,0.7,0.737894528,0.46118407999999994,0.7,0.0,0.18078415936,0.4519603983999999,0.0,0.7,0.0,0.18078415936,0.6859999999999999,0.0,0.0,0.57624,0.6722799999999999,0.0,0.57624,0.4519603983999999,0.46118407999999994,0.6456577119999998,0.0,0.3764768,0.6,0.6722799999999999,0.7,0.0,0.737894528,0.18078415936,0.0,0.6,0.6722799999999999,0.7529536,0.8,0.784,0.8,0.737894528,0.737894528,0.57624,0.0,0.0,0.0,0.4519603983999999,0.0
700,4.700281529657077,0.86,0.8833333333333333,1.0,1.3719742849276626,0.01137660928153699,0.6722799999999999,0.6722799999999999,0.6722799999999999,0.6327445577599997,0.0,0.5647152,0.49,0.1771684761728,0.3,0.49,0.7529536,0.5647152,0.6859999999999999,0.72313663744,0.4519603983999999,0.6859999999999999,0.0,0.1771684761728,0.4429211904319999,0.7,0.8,0.0,0.1771684761728,0.6722799999999999,0.0,0.0,0.5647152,0.6588343999999998,0.0,0.5647152,0.4429211904319999,0.75,0.6327445577599997,0.0,0.368947264,0.8,0.6588343999999998,0.8,0.0,0.72313663744,0.1771684761728,0.0,0.588,0.8,0.737894528,0.85,0.85,0.85,0.72313663744,0.72313663744,0.5647152,0.0,0.0,0.0,0.4429211904319999,0.0
800,4.870352776406799,0.89,0.8833333333333333,1.0,1.369462948894626,0.008183645366183814,0.6588343999999998,0.6588343999999998,0.6588343999999998,0.75,0.0,0.553420896,0.48019999999999996,0.173625106649344,0.65,0.48019999999999996,0.737894528,0.553420896,0.6722799999999999,0.7086739046912,0.4429211904319999,0.6722799999999999,0.0,0.173625106649344,0.4340627666233599,0.6859999999999999,0.784,0.0,0.173625106649344,0.8,0.0,0.0,0.553420896,0.6456577119999998,0.0,0.553420896,0.4340627666233599,0.8,0.6200896666047997,0.0,0.7,0.784,0.6456577119999998,0.784,0.0,0.7086739046912,0.173625106649344,0.0,0.8,0.784,0.72313663744,0.85,0.85,0.85,0.7086739046912,0.8,0.553420896,0.0,0.0,0.0,0.4340627666233599,0.0
900,4.627075279238634,0.82,0.8566666666666666,1.0,1.3698896268207228,0.0073428790908240315,0.6456577119999998,0.6456577119999998,0.6456577119999998,0.735,0.7,0.54235247808,0.47059599999999996,0.1701526045163571,0.637,0.47059599999999996,0.72313663744,0.54235247808,0.6588343999999998,0.8,0.4340627666233599,0.6588343999999998,0.0,0.1701526045163571,0.4253815112908927,0.8,0.76832,0.7,0.1701526045163571,0.784,0.0,0.0,0.54235247808,0.75,0.0,0.54235247808,0.4253815112908927,0.784,0.6076878732727037,0.0,0.6859999999999999,0.85,0.6327445577599997,0.76832,0.0,0.694500426597376,0.1701526045163571,0.65,0.784,0.76832,0.7086739046912,0.833,0.833,0.85,0.8,0.784,0.54235247808,0.6,0.0,0.0,0.4253815112908927,0.0
1000,4.6742280415957795,0.86,0.8566666666666666,1.0,1.3675610312474935,0.007560734442189901,0.6327445577599997,0.6327445577599997,0.6327445577599997,0.7202999999999999,0.6859999999999999,0.5315054285184,0.46118407999999994,0.16674955242602996,0.62426,0.46118407999999994,0.7086739046912,0.5315054285184,0.6456577119999998,0.784,0.4253815112908927,0.8,0.0,0.16674955242602996,0.41687388106507484,0.8,0.7529536,0.6859999999999999,0.16674955242602996,0.76832,0.0,0.0,0.5315054285184,0.735,0.0,0.5315054285184,0.41687388106507484,0.76832,0.5955341158072496,0.0,0.6722799999999999,0.85,0.6200896666047997,0.7529536,0.0,0.6806104180654284,0.16674955242602996,0.637,0.76832,0.8,0.694500426597376,0.85,0.85,0.85,0.784,0.8,0.5315054285184,0.8,0.0,0.0,0.5,0.0
1100,4.9754577370546755,0.9,0.86,1.0,1.3712791120653434,0.007320124774456157,0.6200896666047997,0.6200896666047997,0.6200896666047997,0.7058939999999999,0.6722799999999999,0.5208753199480319,0.4519603983999999,0.16341456137750934,0.6117748000000001,0.4519603983999999,0.694500426597376,0.5208753199480319,0.6327445577599997,0.76832,0.41687388106507484,0.784,0.0,0.16341456137750934,0.40853640344377334,0.784,0.737894528,0.75,0.16341456137750934,0.7529536,0.0,0.0,0.5208753199480319,0.7202999999999999,0.6,0.6,0.40853640344377334,0.7529536,0.5836234334911046,0.0,0.75,0.833,0.6076878732727037,0.737894528,0.7,0.6669982097041198,0.65,0.62426,0.7529536,0.8,0.6806104180654284,0.833,0.85,0.85,0.8,0.784,0.5208753199480319,0.784,0.0,0.0,0.49,0.0
1200,4.937369353417307,0.88,0.88,1.0,1.3716430984801473,0.006105713215739732,0.6076878732727037,0.6076878732727037,0.6076878732727037,0.6917761199999999,0.6588343999999998,0.5104578135490713,0.4429211904319999,0.16014627014995916,0.5995393040000001,0.4429211904319999,0.6806104180654284,0.5104578135490713,0.6200896666047997,0.7529536,0.7,0.8,0.0,0.16014627014995916,0.40036567537489787,0.76832,0.72313663744,0.735,0.16014627014995916,0.737894528,0.0,0.0,0.65,0.7058939999999999,0.7,0.7,0.40036567537489787,0.737894528,0.5719509648212825,0.0,0.8,0.8,0.7,0.72313663744,0.8,0.6536582455100374,0.637,0.8,0.737894528,0.784,0.6669982097041198,0.81634,0.833,0.833,0.784,0.76832,0.5104578135490713,0.76832,0.0,0.0,0.48019999999999996,0.0
