step,train_loss,refusal_rate,refusal_rate_smoothed,baseline_refusal_rate,gsm8k_accuracy,mean_alignment,lambda_layer_model.layers.0.self_attn.q_proj,lambda_layer_model.layers.0.self_attn.v_proj,lambda_layer_model.layers.1.self_attn.q_proj,lambda_layer_model.layers.1.self_attn.v_proj,lambda_layer_model.layers.2.self_attn.q_proj,lambda_layer_model.layers.2.self_attn.v_proj,lambda_layer_model.layers.3.self_attn.q_proj,lambda_layer_model.layers.3.self_attn.v_proj,lambda_layer_model.layers.4.self_attn.q_proj,lambda_layer_model.layers.4.self_attn.v_proj,lambda_layer_model.layers.5.self_attn.q_proj,lambda_layer_model.layers.5.self_attn.v_proj,lambda_layer_model.layers.6.self_attn.q_proj,lambda_layer_model.layers.6.self_attn.v_proj,lambda_layer_model.layers.7.self_attn.q_proj,lambda_layer_model.layers.7.self_attn.v_proj,lambda_layer_model.layers.8.self_attn.q_proj,lambda_layer_model.layers.8.self_attn.v_proj,lambda_layer_model.layers.9.self_attn.q_proj,lambda_layer_model.layers.9.self_attn.v_proj,lambda_layer_model.layers.10.self_attn.q_proj,lambda_layer_model.layers.10.self_attn.v_proj,lambda_layer_model.layers.11.self_attn.q_proj,lambda_layer_model.layers.11.self_attn.v_proj,lambda_layer_model.layers.12.self_attn.q_proj,lambda_layer_model.layers.12.self_attn.v_proj,lambda_layer_model.layers.13.self_attn.q_proj,lambda_layer_model.layers.13.self_attn.v_proj,lambda_layer_model.layers.14.self_attn.q_proj,lambda_layer_model.layers.14.self_attn.v_proj,lambda_layer_model.layers.15.self_attn.q_proj,lambda_layer_model.layers.15.self_attn.v_proj,lambda_layer_model.layers.16.self_attn.q_proj,lambda_layer_model.layers.16.self_attn.v_proj,lambda_layer_model.layers.17.self_attn.q_proj,lambda_layer_model.layers.17.self_attn.v_proj,lambda_layer_model.layers.18.self_attn.q_proj,lambda_layer_model.layers.18.self_attn.v_proj,lambda_layer_model.layers.19.self_attn.q_proj,lambda_layer_model.layers.19.self_attn.v_proj,lambda_layer_model.layers.20.self_attn.q_proj,lambda_layer_model.layers.20.self_attn.v_proj,lambda_layer_model.layers.21.self_attn.q_proj,lambda_layer_model.layers.21.self_attn.v_proj,lambda_layer_model.layers.22.self_attn.q_proj,lambda_layer_model.layers.22.self_attn.v_proj,lambda_layer_model.layers.23.self_attn.q_proj,lambda_layer_model.layers.23.self_attn.v_proj,lambda_layer_model.layers.24.self_attn.q_proj,lambda_layer_model.layers.24.self_attn.v_proj,lambda_layer_model.layers.25.self_attn.q_proj,lambda_layer_model.layers.25.self_attn.v_proj,lambda_layer_model.layers.26.self_attn.q_proj,lambda_layer_model.layers.26.self_attn.v_proj,lambda_layer_model.layers.27.self_attn.q_proj,lambda_layer_model.layers.27.self_attn.v_proj
100,1.558774262368679,0.97,0.985,1.0,0.545,0.025337144208606333,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,1.428925889879465,0.97,0.98,1.0,0.52,0.02188976011737915,0.0,0.0,0.2,0.49,0.49,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.49,0.49,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.49,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
300,1.4746700532361865,0.97,0.9700000000000001,1.0,0.52,0.020179501618258655,0.0,0.0,0.2,0.48019999999999996,0.48019999999999996,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.48019999999999996,0.2,0.49,0.0,0.49,0.0,0.2,0.0,0.0,0.0,0.49,0.0,0.0,0.48019999999999996,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.196,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2
400,1.4468381160870194,0.95,0.9633333333333333,1.0,0.47,0.019139987325096235,0.0,0.0,0.196,0.47059599999999996,0.47059599999999996,0.49,0.2,0.0,0.0,0.0,0.196,0.196,0.0,0.47059599999999996,0.196,0.48019999999999996,0.2,0.48019999999999996,0.0,0.196,0.0,0.2,0.2,0.48019999999999996,0.0,0.0,0.47059599999999996,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.196,0.0,0.0,0.196,0.0,0.0,0.19208,0.0,0.0,0.0,0.196,0.196,0.0,0.196,0.2,0.196
500,1.444542190693319,0.94,0.9533333333333333,1.0,0.455,0.017810827998411178,0.0,0.0,0.19208,0.46118407999999994,0.46118407999999994,0.48019999999999996,0.196,0.0,0.0,0.0,0.19208,0.5,0.0,0.46118407999999994,0.19208,0.47059599999999996,0.196,0.47059599999999996,0.2,0.19208,0.0,0.196,0.196,0.47059599999999996,0.0,0.0,0.46118407999999994,0.3,0.19208,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.196,0.0,0.2,0.19208,0.0,0.0,0.19208,0.0,0.0,0.1882384,0.0,0.0,0.0,0.19208,0.19208,0.0,0.19208,0.196,0.19208
600,1.3932819091156126,0.93,0.94,1.0,0.49,0.01680936897173524,0.0,0.0,0.1882384,0.4519603983999999,0.4519603983999999,0.47059599999999996,0.19208,0.0,0.0,0.7,0.1882384,0.7,0.0,0.4519603983999999,0.1882384,0.46118407999999994,0.7,0.46118407999999994,0.196,0.1882384,0.0,0.19208,0.19208,0.46118407999999994,0.0,0.0,0.4519603983999999,0.7,0.1882384,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.7,0.19208,0.0,0.196,0.7,0.0,0.0,0.1882384,0.0,0.0,0.7,0.0,0.0,0.0,0.1882384,0.1882384,0.0,0.1882384,0.19208,0.7
700,1.349161556661129,0.91,0.9266666666666667,1.0,0.475,0.011650794289640285,0.7,0.0,0.184473632,0.4429211904319999,0.4429211904319999,0.46118407999999994,0.1882384,0.0,0.0,0.8,0.7,0.6859999999999999,0.0,0.4429211904319999,0.7,0.4519603983999999,0.6859999999999999,0.4519603983999999,0.7,0.184473632,0.0,0.1882384,0.1882384,0.4519603983999999,0.0,0.0,0.4429211904319999,0.6859999999999999,0.184473632,0.0,0.0,0.6859999999999999,0.7,0.6859999999999999,0.0,0.7,0.6859999999999999,0.1882384,0.0,0.19208,0.6859999999999999,0.0,0.7,0.184473632,0.0,0.7,0.6859999999999999,0.0,0.0,0.0,0.184473632,0.7,0.0,0.184473632,0.1882384,0.6859999999999999
800,1.4291019823029638,0.89,0.91,1.0,0.5,0.008733370877702587,0.6859999999999999,0.0,0.18078415936,0.4340627666233599,0.4340627666233599,0.4519603983999999,0.184473632,0.0,0.0,0.784,0.6859999999999999,0.6722799999999999,0.0,0.6,0.6859999999999999,0.4429211904319999,0.6722799999999999,0.6,0.6859999999999999,0.6,0.0,0.184473632,0.6,0.4429211904319999,0.0,0.6,0.4340627666233599,0.6722799999999999,0.18078415936,0.6,0.0,0.6722799999999999,0.6859999999999999,0.6722799999999999,0.0,0.6859999999999999,0.6722799999999999,0.184473632,0.0,0.1882384,0.6722799999999999,0.7,0.8,0.18078415936,0.0,0.6859999999999999,0.6722799999999999,0.0,0.0,0.6,0.18078415936,0.6859999999999999,0.6,0.18078415936,0.184473632,0.6722799999999999
900,1.446822669096291,0.93,0.91,1.0,0.46,0.006218960124117855,0.6722799999999999,0.0,0.7,0.4253815112908927,0.4253815112908927,0.4429211904319999,0.6,0.0,0.0,0.76832,0.6722799999999999,0.6588343999999998,0.7,0.588,0.6722799999999999,0.4340627666233599,0.6588343999999998,0.588,0.6722799999999999,0.7,0.0,0.18078415936,0.588,0.4340627666233599,0.0,0.7,0.4253815112908927,0.6588343999999998,0.1771684761728,0.588,0.0,0.6588343999999998,0.6722799999999999,0.6588343999999998,0.6,0.6722799999999999,0.6588343999999998,0.18078415936,0.0,0.7,0.6588343999999998,0.6859999999999999,0.784,0.8,0.0,0.6722799999999999,0.6588343999999998,0.0,0.7,0.588,0.1771684761728,0.6722799999999999,0.7,0.1771684761728,0.18078415936,0.6588343999999998
1000,1.3953915111348032,0.94,0.9199999999999999,1.0,0.475,0.005139781863752952,0.6588343999999998,0.0,0.6859999999999999,0.41687388106507484,0.41687388106507484,0.4340627666233599,0.588,0.0,0.7,0.8,0.7,0.6456577119999998,0.8,0.57624,0.6588343999999998,0.8,0.6456577119999998,0.57624,0.6588343999999998,0.6859999999999999,0.7,0.1771684761728,0.57624,0.4253815112908927,0.0,0.8,0.41687388106507484,0.6456577119999998,0.173625106649344,0.57624,0.0,0.6456577119999998,0.6588343999999998,0.6456577119999998,0.8,0.6588343999999998,0.6456577119999998,0.1771684761728,0.7,0.6859999999999999,0.6456577119999998,0.6722799999999999,0.76832,0.784,0.0,0.6588343999999998,0.6456577119999998,0.0,0.8,0.57624,0.173625106649344,0.6588343999999998,0.6859999999999999,0.173625106649344,0.1771684761728,0.6456577119999998
