step,train_loss,refusal_rate,alpaca_val_loss,mean_alignment,lambda
100,5.037782720688265,0.63,1.378592795065405,0.0273749753417048,0.35
200,5.024446170646697,0.65,1.36910521704787,0.0276585315462268,0.3999999999999999
300,4.8294777485542,0.6,1.3662397923874383,0.0242667763793308,0.4499999999999999
400,4.8168535926006735,0.54,1.3675341661910385,0.024911598335685476,0.4999999999999999
500,4.974158248133026,0.74,1.3638864777333755,0.02465851219936407,0.5499999999999999
600,4.959698434136808,0.58,1.3671615904830043,0.026057387136721184,0.6
700,5.2134352871542795,0.72,1.3641481760507546,0.02752018011441188,0.65
800,4.740280804354698,0.7,1.3585754395245964,0.02822607972692432,0.7000000000000001
900,4.814998911661096,0.54,1.3579078667488633,0.024188258718433126,0.7500000000000001
1000,4.770840865564533,0.58,1.3590594270215826,0.022110785981307605,0.8000000000000002
1100,4.880449415869079,0.57,1.3626187527075386,0.022044476462594633,0.8500000000000002
1200,4.769228958985768,0.7,1.3590177226095137,0.024953341128171554,0.9000000000000002
1300,4.74158635684289,0.77,1.3571013203213582,0.02853320463327691,0.9500000000000003
1400,4.676673398432322,0.63,1.3579074379304943,0.024034133630006442,1.0
1500,4.632106611381751,0.64,1.3602613218734032,0.022317273538127274,1.0
1600,4.416144931497984,0.61,1.358862377460331,0.022343604659129466,1.0
1700,4.375605881651864,0.67,1.3582771388496417,0.023884164917814945,1.0
1800,4.380490144053474,0.65,1.3592063684385376,0.02392105393976505,1.0
1900,4.573421309908153,0.59,1.360274488523928,0.02445930230065382,1.0
2000,4.501965579162352,0.59,1.3615432072280154,0.026702561382470385,1.0
