step,train_loss,refusal_rate,refusal_rate_smoothed,baseline_refusal_rate,gsm8k_accuracy,mean_alignment,lambda_layer_model.layers.0.self_attn.q_proj,lambda_layer_model.layers.0.self_attn.v_proj,lambda_layer_model.layers.1.self_attn.q_proj,lambda_layer_model.layers.1.self_attn.v_proj,lambda_layer_model.layers.2.self_attn.q_proj,lambda_layer_model.layers.2.self_attn.v_proj,lambda_layer_model.layers.3.self_attn.q_proj,lambda_layer_model.layers.3.self_attn.v_proj,lambda_layer_model.layers.4.self_attn.q_proj,lambda_layer_model.layers.4.self_attn.v_proj,lambda_layer_model.layers.5.self_attn.q_proj,lambda_layer_model.layers.5.self_attn.v_proj,lambda_layer_model.layers.6.self_attn.q_proj,lambda_layer_model.layers.6.self_attn.v_proj,lambda_layer_model.layers.7.self_attn.q_proj,lambda_layer_model.layers.7.self_attn.v_proj,lambda_layer_model.layers.8.self_attn.q_proj,lambda_layer_model.layers.8.self_attn.v_proj,lambda_layer_model.layers.9.self_attn.q_proj,lambda_layer_model.layers.9.self_attn.v_proj,lambda_layer_model.layers.10.self_attn.q_proj,lambda_layer_model.layers.10.self_attn.v_proj,lambda_layer_model.layers.11.self_attn.q_proj,lambda_layer_model.layers.11.self_attn.v_proj,lambda_layer_model.layers.12.self_attn.q_proj,lambda_layer_model.layers.12.self_attn.v_proj,lambda_layer_model.layers.13.self_attn.q_proj,lambda_layer_model.layers.13.self_attn.v_proj,lambda_layer_model.layers.14.self_attn.q_proj,lambda_layer_model.layers.14.self_attn.v_proj,lambda_layer_model.layers.15.self_attn.q_proj,lambda_layer_model.layers.15.self_attn.v_proj,lambda_layer_model.layers.16.self_attn.q_proj,lambda_layer_model.layers.16.self_attn.v_proj,lambda_layer_model.layers.17.self_attn.q_proj,lambda_layer_model.layers.17.self_attn.v_proj,lambda_layer_model.layers.18.self_attn.q_proj,lambda_layer_model.layers.18.self_attn.v_proj,lambda_layer_model.layers.19.self_attn.q_proj,lambda_layer_model.layers.19.self_attn.v_proj,lambda_layer_model.layers.20.self_attn.q_proj,lambda_layer_model.layers.20.self_attn.v_proj,lambda_layer_model.layers.21.self_attn.q_proj,lambda_layer_model.layers.21.self_attn.v_proj,lambda_layer_model.layers.22.self_attn.q_proj,lambda_layer_model.layers.22.self_attn.v_proj,lambda_layer_model.layers.23.self_attn.q_proj,lambda_layer_model.layers.23.self_attn.v_proj,lambda_layer_model.layers.24.self_attn.q_proj,lambda_layer_model.layers.24.self_attn.v_proj,lambda_layer_model.layers.25.self_attn.q_proj,lambda_layer_model.layers.25.self_attn.v_proj,lambda_layer_model.layers.26.self_attn.q_proj,lambda_layer_model.layers.26.self_attn.v_proj,lambda_layer_model.layers.27.self_attn.q_proj,lambda_layer_model.layers.27.self_attn.v_proj
100,1.696126381084323,0.98,0.99,1.0,0.505,0.02192195667885244,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0
200,1.4059672312065958,0.98,0.9866666666666667,1.0,0.5,0.02081811903709812,0.2,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.196,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.49,0.0,0.0,0.196,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0.49,0.0,0.0,0.0,0.2,0.0,0.2,0.196,0.196,0.0
300,1.4463344344124198,0.97,0.9766666666666666,1.0,0.48,0.018565714076560522,0.196,0.0,0.2,0.0,0.0,0.19208,0.0,0.0,0.2,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.48019999999999996,0.0,0.0,0.0,0.48019999999999996,0.2,0.2,0.19208,0.0,0.2,0.196,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.19208,0.48019999999999996,0.2,0.0,0.0,0.2,0.0,0.2,0.19208,0.2,0.2
400,1.3774737459793687,0.97,0.9733333333333333,1.0,0.47,0.017085179553500245,0.19208,0.0,0.196,0.0,0.0,0.1882384,0.0,0.2,0.196,0.0,0.2,0.0,0.19208,0.2,0.2,0.0,0.47059599999999996,0.0,0.0,0.0,0.47059599999999996,0.196,0.196,0.1882384,0.0,0.196,0.19208,0.0,0.0,0.0,0.196,0.196,0.0,0.0,0.0,0.0,0.2,0.0,0.196,0.196,0.196,0.0,0.0,0.0,0.0,0.1882384,0.47059599999999996,0.196,0.0,0.0,0.196,0.0,0.196,0.1882384,0.196,0.196
500,1.4008060299605132,0.95,0.9633333333333333,1.0,0.495,0.015027921773642967,0.1882384,0.0,0.19208,0.2,0.0,0.184473632,0.0,0.196,0.19208,0.0,0.196,0.0,0.1882384,0.196,0.196,0.2,0.46118407999999994,0.0,0.0,0.0,0.46118407999999994,0.19208,0.19208,0.184473632,0.0,0.19208,0.1882384,0.0,0.0,0.0,0.19208,0.19208,0.0,0.0,0.0,0.0,0.196,0.0,0.19208,0.19208,0.19208,0.0,0.0,0.0,0.0,0.184473632,0.46118407999999994,0.19208,0.0,0.0,0.19208,0.0,0.19208,0.184473632,0.19208,0.19208
600,1.3551787313818933,0.92,0.9466666666666667,1.0,0.5,0.013595030686701648,0.184473632,0.0,0.7,0.7,0.3,0.7,0.0,0.19208,0.1882384,0.0,0.7,0.0,0.184473632,0.19208,0.19208,0.196,0.4519603983999999,0.0,0.0,0.0,0.4519603983999999,0.1882384,0.1882384,0.7,0.0,0.7,0.184473632,0.0,0.0,0.0,0.1882384,0.1882384,0.0,0.0,0.0,0.0,0.7,0.0,0.1882384,0.1882384,0.1882384,0.0,0.0,0.0,0.0,0.18078415936,0.4519603983999999,0.1882384,0.0,0.0,0.1882384,0.0,0.7,0.18078415936,0.7,0.7
700,1.402066936045885,0.93,0.9333333333333332,1.0,0.525,0.01137091927687704,0.18078415936,0.0,0.6859999999999999,0.6859999999999999,0.294,0.8,0.0,0.1882384,0.184473632,0.0,0.6859999999999999,0.6,0.18078415936,0.1882384,0.1882384,0.19208,0.4429211904319999,0.0,0.0,0.0,0.4429211904319999,0.184473632,0.184473632,0.6859999999999999,0.0,0.8,0.18078415936,0.0,0.0,0.0,0.7,0.7,0.0,0.5,0.0,0.0,0.6859999999999999,0.0,0.184473632,0.5,0.184473632,0.0,0.4,0.0,0.0,0.7,0.4429211904319999,0.184473632,0.0,0.0,0.184473632,0.6,0.6859999999999999,0.1771684761728,0.6859999999999999,0.6859999999999999
800,1.4044172516651452,0.92,0.9233333333333333,1.0,0.47,0.009613306402960526,0.1771684761728,0.0,0.6722799999999999,0.7,0.28812,0.8,0.0,0.184473632,0.18078415936,0.0,0.7,0.8,0.1771684761728,0.184473632,0.5,0.1882384,0.4340627666233599,0.0,0.0,0.0,0.4340627666233599,0.18078415936,0.18078415936,0.6722799999999999,0.4,0.784,0.1771684761728,0.4,0.0,0.0,0.6859999999999999,0.6859999999999999,0.0,0.49,0.0,0.0,0.6722799999999999,0.4,0.18078415936,0.49,0.18078415936,0.0,0.392,0.0,0.4,0.6859999999999999,0.4340627666233599,0.18078415936,0.0,0.0,0.18078415936,0.588,0.6722799999999999,0.173625106649344,0.6722799999999999,0.6722799999999999
900,1.411258680075407,0.93,0.9266666666666667,1.0,0.49,0.00845082831126222,0.173625106649344,0.0,0.6588343999999998,0.6859999999999999,0.6,0.7,0.6,0.18078415936,0.1771684761728,0.0,0.6859999999999999,0.7,0.7,0.18078415936,0.8,0.184473632,0.4253815112908927,0.0,0.0,0.0,0.4253815112908927,0.1771684761728,0.1771684761728,0.6588343999999998,0.392,0.76832,0.173625106649344,0.7,0.0,0.0,0.6722799999999999,0.6722799999999999,0.0,0.7,0.0,0.0,0.6588343999999998,0.8,0.1771684761728,0.48019999999999996,0.1771684761728,0.0,0.38416,0.0,0.8,0.6722799999999999,0.4253815112908927,0.1771684761728,0.0,0.0,0.1771684761728,0.57624,0.6588343999999998,0.1701526045163571,0.6588343999999998,0.6588343999999998
1000,1.4111082151532173,0.91,0.92,1.0,0.52,0.007735560575383715,0.1701526045163571,0.0,0.6456577119999998,0.6722799999999999,0.588,0.6859999999999999,0.588,0.1771684761728,0.173625106649344,0.0,0.8,0.6859999999999999,0.6859999999999999,0.1771684761728,0.8,0.18078415936,0.41687388106507484,0.0,0.0,0.7,0.41687388106507484,0.173625106649344,0.173625106649344,0.6456577119999998,0.38416,0.7529536,0.1701526045163571,0.8,0.0,0.0,0.6588343999999998,0.6588343999999998,0.0,0.6859999999999999,0.0,0.0,0.6456577119999998,0.8,0.173625106649344,0.47059599999999996,0.173625106649344,0.0,0.3764768,0.0,0.8,0.6588343999999998,0.41687388106507484,0.173625106649344,0.0,0.0,0.173625106649344,0.7,0.6456577119999998,0.16674955242602996,0.6456577119999998,0.6456577119999998
