step,train_loss,refusal_rate,alpaca_val_loss
100,5.205508656446764,0.96,1.3893318641190704
200,4.72379909357056,0.85,1.3812612572661844
300,4.897058285241947,0.87,1.3750115268179035
400,4.700165522005409,0.86,1.3767624615379017
500,4.652969228823204,0.86,1.374661462879998
600,4.782565760908183,0.89,1.3740309013290484
700,4.695933378422633,0.86,1.3732292680632936
800,4.863052958915941,0.87,1.3688443271227906
900,4.628749672095291,0.87,1.369918343146977
1000,4.670919381482527,0.81,1.3678289595482946
1100,4.973307927837595,0.86,1.371514276750234
1200,4.926166775310412,0.92,1.3734660115010358
1300,4.657616811678745,0.87,1.3710251244799432
1400,4.4215031647775325,0.86,1.3696759433721954
1500,4.421299759983085,0.88,1.3682856217122474
1600,4.269442738285289,0.85,1.3711320437600605
1700,4.489583485689946,0.78,1.3699356150251492
1800,4.535535430223099,0.8,1.3731252399667924
1900,4.389132891317131,0.84,1.3731037496152971
2000,4.455532073685899,0.79,1.369339026610084
